day,date,aapl,amzn,goog
118,2016-06-22,29219100.0,2260500.0,1184300.0
119,2016-06-23,32240200.0,2825000.0,2171400.0
120,2016-06-24,75311400.0,7632500.0,4449000.0
121,2016-06-27,45489600.0,5568000.0,2629000.0
122,2016-06-28,40444900.0,4037000.0,2173800.0
123,2016-06-29,36531000.0,3070100.0,1932600.0
124,2016-06-30,35836400.0,2855100.0,1597700.0
125,2016-07-01,26026500.0,2920400.0,1344700.0
126,2016-07-05,27705200.0,2431400.0,1462600.0
127,2016-07-06,30949100.0,3938200.0,1411900.0
128,2016-07-07,25139600.0,2936700.0,1303100.0
129,2016-07-08,28912100.0,3429200.0,1575200.0
130,2016-07-11,23794900.0,3195300.0,1111800.0
131,2016-07-12,24167500.0,5623700.0,1336900.0
132,2016-07-13,25892200.0,4142300.0,935900.0
133,2016-07-14,38919000.0,2390500.0,950200.0
134,2016-07-15,30137000.0,3121400.0,1279300.0
135,2016-07-18,36493900.0,2954900.0,1295500.0
136,2016-07-19,23779900.0,2216800.0,1227500.0
137,2016-07-20,26276000.0,2214000.0,1289700.0
138,2016-07-21,32702000.0,2317100.0,1026300.0
139,2016-07-22,28313700.0,2277700.0,1259800.0
140,2016-07-25,40382900.0,2679300.0,1032400.0
141,2016-07-26,56239800.0,2529700.0,1186700.0
142,2016-07-27,92344800.0,2831800.0,1497100.0
143,2016-07-28,39869800.0,7617600.0,3530200.0
144,2016-07-29,27733700.0,6777100.0,3841500.0
145,2016-08-01,38167900.0,3578200.0,2700500.0
146,2016-08-02,33816600.0,3603300.0,1784500.0
147,2016-08-03,30202600.0,3581500.0,1287400.0
148,2016-08-04,27408700.0,3176000.0,1139400.0
149,2016-08-05,40553400.0,2704400.0,1801200.0
150,2016-08-08,28037200.0,1986300.0,1107900.0
151,2016-08-09,26315200.0,1876100.0,1318900.0
152,2016-08-10,24008500.0,1604300.0,786400.0
153,2016-08-11,27484500.0,2016300.0,971100.0
154,2016-08-12,18660400.0,1563300.0,740500.0
155,2016-08-15,25868200.0,2118500.0,938200.0
156,2016-08-16,33794400.0,1604600.0,1028000.0
157,2016-08-17,25356000.0,1891100.0,924200.0
