day,date,aapl,amzn,goog
111,2016-06-13,97.339996,715.23999,718.3599849999999
112,2016-06-14,97.459999,719.299988,718.27002
113,2016-06-15,97.139999,714.26001,718.919983
114,2016-06-16,97.550003,717.51001,710.3599849999999
115,2016-06-17,95.33000200000001,706.3900150000001,691.719971
116,2016-06-20,95.099998,714.01001,693.710022
117,2016-06-21,95.910004,715.820007,695.9400019999999
118,2016-06-22,95.550003,710.599976,697.460022
119,2016-06-23,96.099998,722.080017,701.869995
120,2016-06-24,93.400002,698.960022,675.219971
121,2016-06-27,92.040001,691.3599849999999,668.26001
122,2016-06-28,93.589996,707.950012,680.039978
123,2016-06-29,94.400002,715.599976,684.1099849999999
124,2016-06-30,95.599998,715.619995,692.099976
125,2016-07-01,95.889999,725.679993,699.210022
126,2016-07-05,94.989998,728.099976,694.950012
127,2016-07-06,95.529999,737.6099849999999,697.77002
128,2016-07-07,95.940002,736.570007,695.3599849999999
129,2016-07-08,96.68,745.8099980000001,705.630005
130,2016-07-11,96.980003,753.780029,715.090027
131,2016-07-12,97.41999799999999,748.210022,720.6400150000001
132,2016-07-13,96.870003,742.630005,716.97998
133,2016-07-14,98.790001,741.200012,720.950012
134,2016-07-15,98.779999,735.4400019999999,719.849976
135,2016-07-18,99.83000200000001,736.070007,733.780029
136,2016-07-19,99.870003,739.950012,736.960022
137,2016-07-20,99.959999,745.719971,741.1900019999999
138,2016-07-21,99.43,744.429993,738.630005
139,2016-07-22,98.660004,744.8599849999999,742.73999
140,2016-07-25,97.339996,739.6099849999999,739.77002
141,2016-07-26,96.66999799999999,735.590027,738.419983
142,2016-07-27,102.949997,736.669983,741.77002
143,2016-07-28,104.339996,752.6099849999999,745.909973
144,2016-07-29,104.209999,758.8099980000001,768.789978
145,2016-08-01,106.050003,767.73999,772.880005
146,2016-08-02,104.480003,760.580017,771.070007
147,2016-08-03,105.790001,754.6400150000001,773.179993
148,2016-08-04,105.870003,760.77002,771.6099849999999
149,2016-08-05,107.480003,765.97998,782.219971
150,2016-08-08,108.370003,766.5599980000001,781.76001
151,2016-08-09,108.809998,768.3099980000001,784.26001
152,2016-08-10,108.0,768.5599980000001,784.679993
153,2016-08-11,107.93,771.23999,784.849976
154,2016-08-12,108.18,772.5599980000001,783.219971
155,2016-08-15,109.480003,768.48999,782.4400019999999
156,2016-08-16,109.379997,764.039978,777.1400150000001
157,2016-08-17,109.220001,764.630005,779.909973
158,2016-08-18,109.08000200000001,764.460022,777.5
159,2016-08-19,109.360001,757.3099980000001,775.419983
160,2016-08-22,108.510002,759.47998,772.150024
161,2016-08-23,108.849998,762.450012,772.080017
162,2016-08-24,108.029999,757.25,769.6400150000001
163,2016-08-25,107.57,759.219971,769.409973
164,2016-08-26,106.940002,769.0,769.539978
165,2016-08-29,106.82,771.289978,772.150024
166,2016-08-30,106.0,767.580017,769.090027
167,2016-08-31,106.099998,769.159973,767.049988
168,2016-09-01,106.730003,770.619995,768.780029
169,2016-09-02,107.730003,772.4400019999999,771.460022
170,2016-09-06,107.699997,788.869995,780.080017
171,2016-09-07,108.360001,784.47998,780.349976
172,2016-09-08,105.519997,784.0599980000001,775.320007
173,2016-09-09,103.129997,760.1400150000001,759.659973
174,2016-09-12,105.440002,771.48999,769.02002
175,2016-09-13,107.949997,761.01001,759.6900019999999
176,2016-09-14,111.769997,761.090027,762.48999
177,2016-09-15,115.57,769.6900019999999,771.76001
178,2016-09-16,114.91999799999999,778.52002,768.880005
179,2016-09-19,113.58000200000001,775.099976,765.700012
180,2016-09-20,113.57,780.219971,771.409973
181,2016-09-21,113.550003,789.73999,776.219971
182,2016-09-22,114.620003,804.700012,787.210022
183,2016-09-23,112.709999,805.75,786.900024
184,2016-09-26,112.879997,799.159973,774.210022
185,2016-09-27,113.089996,816.1099849999999,783.01001
186,2016-09-28,113.949997,828.719971,781.5599980000001
187,2016-09-29,112.18,829.049988,775.01001
188,2016-09-30,113.050003,837.3099980000001,777.289978
189,2016-10-03,112.519997,836.73999,772.5599980000001
190,2016-10-04,113.0,834.030029,776.429993
191,2016-10-05,113.050003,844.3599849999999,776.469971
192,2016-10-06,113.889999,841.659973,776.8599849999999
193,2016-10-07,114.059998,839.429993,775.080017
194,2016-10-10,116.050003,841.7100220000001,785.9400019999999
195,2016-10-11,116.300003,831.0,783.070007
196,2016-10-12,117.339996,834.090027,786.1400150000001
197,2016-10-13,116.980003,829.280029,778.1900019999999
198,2016-10-14,117.629997,822.960022,778.530029
199,2016-10-17,117.550003,812.950012,779.960022
200,2016-10-18,117.470001,817.650024,795.26001
201,2016-10-19,117.120003,817.6900019999999,801.5
202,2016-10-20,117.059998,810.320007,796.969971
203,2016-10-21,116.599998,818.98999,799.369995
204,2016-10-24,117.650002,838.090027,813.1099849999999
205,2016-10-25,118.25,835.179993,807.669983
206,2016-10-26,115.589996,822.590027,799.070007
207,2016-10-27,114.480003,818.3599849999999,795.349976
208,2016-10-28,113.720001,776.320007,795.369995
209,2016-10-31,113.540001,789.820007,784.539978
210,2016-11-01,111.489998,785.409973,783.6099849999999
211,2016-11-02,111.589996,765.5599980000001,768.700012
212,2016-11-03,109.83000200000001,767.030029,762.130005
213,2016-11-04,108.839996,755.049988,762.02002
214,2016-11-07,110.410004,784.929993,782.52002
215,2016-11-08,111.059998,787.75,790.51001
216,2016-11-09,110.879997,771.880005,785.3099980000001
217,2016-11-10,107.790001,742.380005,762.5599980000001
218,2016-11-11,108.43,739.01001,754.02002
219,2016-11-14,105.709999,719.070007,736.080017
220,2016-11-15,107.110001,743.23999,758.48999
221,2016-11-16,109.989998,746.48999,764.47998
222,2016-11-17,109.949997,756.400024,771.22998
223,2016-11-18,110.059998,760.159973,760.539978
224,2016-11-21,111.730003,780.0,769.200012
225,2016-11-22,111.800003,785.330017,768.27002
226,2016-11-23,111.230003,780.119995,760.98999
227,2016-11-25,111.790001,780.369995,761.679993
228,2016-11-28,111.57,766.77002,768.23999
229,2016-11-29,111.459999,762.52002,770.840027
230,2016-11-30,110.519997,750.570007,758.039978
231,2016-12-01,109.489998,743.650024,747.919983
232,2016-12-02,109.900002,740.340027,750.5
233,2016-12-05,109.110001,759.3599849999999,762.52002
234,2016-12-06,109.949997,764.719971,759.1099849999999
235,2016-12-07,111.029999,770.419983,771.1900019999999
236,2016-12-08,112.120003,767.330017,776.419983
237,2016-12-09,113.949997,768.659973,789.289978
238,2016-12-12,113.300003,760.119995,789.27002
239,2016-12-13,115.190002,774.340027,796.099976
240,2016-12-14,115.190002,768.820007,797.070007
241,2016-12-15,115.82,761.0,797.849976
242,2016-12-16,115.970001,757.77002,790.799988
243,2016-12-19,116.639999,766.0,794.200012
244,2016-12-20,116.949997,771.219971,796.419983
245,2016-12-21,117.059998,770.599976,794.5599980000001
246,2016-12-22,116.290001,766.340027,791.26001
247,2016-12-23,116.519997,760.590027,789.909973
248,2016-12-27,117.260002,771.400024,791.549988
249,2016-12-28,116.760002,772.130005,785.049988
250,2016-12-29,116.730003,765.150024,782.789978
251,2016-12-30,115.82,749.869995,771.820007
